fake_company_name,real_company_name,real_domain
BluePeak Logistics,XPO Inc.,xpo.com
Lakeshore Media,Prologis Inc.,prologis.com
Pinewood Consulting,Cushman & Wakefield,cushmanwakefield.com
Ridgeway Corp,Regal Rexnord Corporation,regalrexnord.com
Flint & Co,Owens Corning,owenscorning.com
Westside Operations,J.B. Hunt Transport Services,jbhunt.com
Redwood Ventures,Colliers International,colliers.com
Brightfield Inc,Generac Holdings,generac.com
Quantum Retail,The Kroger Co.,kroger.com
Delta Processing,Illinois Tool Works,itw.com
Granite Works,Watts Water Technologies,wattswater.com
Fox River Digital,Old Dominion Freight Line,odfl.com
Beacon Capital,Cousins Properties,cousins.com
Eastgate Media,Iron Mountain Incorporated,ironmountain.com
Bridgeway Consulting,JLL (Jones Lang LaSalle),jll.com
Lakewood Partners,CBRE Group,cbre.com
Maple Grove Tech,Parker Hannifin,parker.com
Glenview Advisors,Eaton Corporation,eaton.com
Copperview Corp,Dover Corporation,dovercorporation.com
Thornfield Logistics,Werner Enterprises,werner.com
Riverview Partners,Choice Hotels International,choicehotels.com
Highland Software,HCA Healthcare,hcahealthcare.com
Velocity Retail,Dollar Tree Inc.,dollartree.com
Midpoint Digital,Ross Stores Inc.,rossstores.com
Foundry Tech,Community Health Systems,chs.net
Sterling Path Co,Marriott International,marriott.com
Ashford Operations,Hyatt Hotels Corporation,hyatt.com
